Time,Unnamed: 1,Open,High,Low,Close,Volume
2004.10.25,00:00,1.2716,1.2828,1.271,1.2803,9666
2004.10.26,00:00,1.2801,1.2839,1.2723,1.2748,8122
2004.10.27,00:00,1.2748,1.2811,1.2694,1.2696,8231
2004.10.28,00:00,1.2698,1.2763,1.263,1.274,9294
2004.10.29,00:00,1.2741,1.2795,1.2704,1.2795,7722
2004.11.01,00:00,1.2814,1.2832,1.2715,1.2752,7114
2004.11.02,00:00,1.2752,1.2753,1.2664,1.274,6788
2004.11.03,00:00,1.2741,1.2829,1.2654,1.2824,9506
2004.11.04,00:00,1.2824,1.2895,1.2788,1.2868,8566
2004.11.05,00:00,1.2869,1.297,1.2767,1.2959,8666
2004.11.08,00:00,1.2966,1.2984,1.2904,1.291,7816
2004.11.09,00:00,1.291,1.2937,1.2879,1.2895,7790
2004.11.10,00:00,1.2897,1.3001,1.2847,1.2885,9662
2004.11.11,00:00,1.2885,1.2917,1.2856,1.2906,6525
2004.11.12,00:00,1.2904,1.2986,1.2872,1.2971,8233
2004.11.15,00:00,1.297,1.2997,1.2914,1.2946,7386
2004.11.16,00:00,1.2946,1.2993,1.2917,1.2954,7191
2004.11.17,00:00,1.2957,1.3045,1.2951,1.3039,7648
2004.11.18,00:00,1.3039,1.3072,1.2938,1.2938,8336
2004.11.19,00:00,1.2938,1.3066,1.2936,1.3024,8748
2004.11.22,00:00,1.3039,1.3051,1.3009,1.3037,6044
2004.11.23,00:00,1.3039,1.3104,1.2976,1.3085,7775
2004.11.24,00:00,1.3083,1.3188,1.3081,1.3184,7103
2004.11.25,00:00,1.3184,1.3283,1.3161,1.3273,6906
2004.11.26,00:00,1.3273,1.3328,1.3182,1.3295,12924
2004.11.29,00:00,1.328,1.3302,1.3226,1.3269,11317
2004.11.30,00:00,1.3269,1.3333,1.323,1.3286,13023
2004.12.01,00:00,1.3287,1.336,1.3276,1.3338,10784
2004.12.02,00:00,1.3338,1.3383,1.3236,1.3265,12268
2004.12.03,00:00,1.3264,1.3459,1.3254,1.345,10181
2004.12.06,00:00,1.3441,1.3453,1.3388,1.3399,9257
2004.12.07,00:00,1.3398,1.3467,1.3388,1.3422,10169
2004.12.08,00:00,1.3422,1.3431,1.319,1.3352,15022
2004.12.09,00:00,1.3351,1.3359,1.325,1.3307,13496
2004.12.10,00:00,1.3306,1.3317,1.3138,1.3222,12693
2004.12.13,00:00,1.3198,1.3325,1.3195,1.3312,12685
2004.12.14,00:00,1.3313,1.3334,1.3259,1.3288,11851
2004.12.15,00:00,1.3289,1.3441,1.3259,1.3398,12617
2004.12.16,00:00,1.3398,1.3427,1.3204,1.3253,15787
2004.12.17,00:00,1.3254,1.3315,1.3225,1.3305,13018
2004.12.20,00:00,1.3331,1.3407,1.3296,1.3393,9419
2004.12.21,00:00,1.3393,1.3407,1.3351,1.3362,8705
2004.12.22,00:00,1.3362,1.3403,1.3341,1.3387,9285
2004.12.23,00:00,1.3388,1.3515,1.338,1.3502,10310
2004.12.24,00:00,1.3503,1.3543,1.3484,1.3529,4706
2004.12.27,00:00,1.3522,1.3636,1.3511,1.3616,4968
2004.12.28,00:00,1.3615,1.364,1.3586,1.3608,5803
2004.12.29,00:00,1.3609,1.3643,1.3554,1.3606,8550
2004.12.30,00:00,1.3605,1.3662,1.357,1.3628,7725
2004.12.31,00:00,1.3628,1.3658,1.351,1.3537,5630
2005.01.03,00:00,1.356,1.3581,1.3385,1.3463,11266
2005.01.04,00:00,1.3462,1.3495,1.3248,1.3271,13372
2005.01.05,00:00,1.3272,1.3301,1.3212,1.3272,15089
2005.01.06,00:00,1.3272,1.3281,1.3156,1.3178,13460
2005.01.07,00:00,1.3177,1.3249,1.3024,1.3053,14825
2005.01.10,00:00,1.3055,1.3122,1.3054,1.3103,11796
2005.01.11,00:00,1.3102,1.3169,1.3099,1.3114,10112
2005.01.12,00:00,1.3115,1.329,1.308,1.3248,8599
2005.01.13,00:00,1.3249,1.3264,1.3191,1.3212,8340
2005.01.14,00:00,1.3212,1.3213,1.3053,1.3111,10818
2005.01.17,00:00,1.3106,1.3125,1.304,1.3042,5026
2005.01.18,00:00,1.3044,1.3075,1.2992,1.3017,8977
2005.01.19,00:00,1.3016,1.3116,1.2961,1.3005,8674
2005.01.20,00:00,1.3004,1.3022,1.2918,1.2955,9313
2005.01.21,00:00,1.2955,1.3065,1.2931,1.304,8667
2005.01.24,00:00,1.3042,1.3097,1.3025,1.3041,6860
2005.01.25,00:00,1.3042,1.3073,1.2942,1.2971,8081
